"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","327.7","1,661.4","10.8","41.9","318.2","2.2","1.4","273.1"
"Bijan Robinson","ATL","299.3","1,401.4","11.3","56.9","428.2","2.1","1.4","260.6"
"Jahmyr Gibbs","DET","239.9","1,239.7","11.7","57.7","508.8","2.8","1.3","259.0"
"Derrick Henry","BAL","292.4","1,497.9","13.2","16.4","153.1","0.9","1.4","246.8"
"Christian McCaffrey","SF","233.2","1,062.6","7.9","65.1","569.9","3.6","1.8","228.4"
"Josh Jacobs","GB","284.1","1,212.2","11.3","38.1","316.0","1.5","1.5","226.2"
"De'Von Achane","MIA","218.6","1,014.7","7.6","69.1","510.8","4.1","1.3","220.2"
"Ashton Jeanty","LV","272.9","1,203.7","9.0","46.3","366.4","1.9","2.4","217.4"
"Jonathan Taylor","IND","297.6","1,359.1","9.6","25.7","194.6","1.1","1.6","216.2"
"Kyren Williams","LAR","275.7","1,192.2","11.2","33.7","213.8","1.7","2.3","213.0"
"Bucky Irving","TB","234.7","1,110.9","8.3","44.4","343.3","1.7","1.4","202.5"
"Chase Brown","CIN","234.6","984.0","7.8","54.0","377.5","2.7","1.4","196.3"
"James Cook","BUF","222.0","1,049.9","9.5","31.4","258.5","1.9","1.4","196.1"
"James Conner","ARI","213.9","971.1","7.8","41.2","314.9","1.7","1.4","182.6"
"Breece Hall","NYJ","224.5","1,000.0","5.9","46.7","384.0","2.1","1.9","182.6"
"Kenneth Walker III","SEA","234.8","953.1","8.0","43.5","311.6","1.3","1.3","179.4"
"Alvin Kamara","NO","215.5","903.5","5.1","63.0","475.6","2.0","1.3","178.0"
"Omarion Hampton","LAC","213.7","940.9","8.4","36.4","281.1","1.6","2.1","177.8"
"Chuba Hubbard","CAR","232.8","1,039.3","7.4","37.4","226.8","1.1","1.8","173.6"
"D'Andre Swift","CHI","238.7","967.1","6.1","36.7","283.0","1.2","1.1","167.0"
"David Montgomery","DET","196.6","819.1","8.9","31.4","258.5","0.9","1.0","164.5"
"Aaron Jones Sr.","MIN","203.5","909.8","4.6","44.3","327.9","2.2","1.8","161.2"
"Joe Mixon","HOU","208.7","829.2","7.5","33.4","258.7","1.3","0.9","160.1"
"TreVeyon Henderson","NE","202.4","892.0","5.7","33.3","258.5","1.5","1.7","154.8"
"Tony Pollard","TEN","227.4","958.4","5.2","38.4","244.9","0.9","1.0","154.7"
"Brian Robinson Jr.","WAS","198.9","811.0","7.2","23.4","175.2","1.0","1.4","144.9"
"Kaleb Johnson","PIT","205.0","861.0","6.2","24.3","185.5","1.0","1.7","144.7"
"Isiah Pacheco","KC","203.7","838.0","5.7","32.9","222.6","1.0","1.0","144.6"
"RJ Harvey","DEN","172.9","757.5","5.2","34.5","264.2","1.7","1.0","141.3"
"Tyrone Tracy Jr.","NYG","179.8","770.8","4.9","34.5","252.2","1.1","1.6","135.0"
"Jaylen Warren","PIT","147.6","673.0","3.7","47.1","343.1","1.1","1.0","128.5"
"Javonte Williams","DAL","179.0","658.8","4.3","36.8","235.4","1.1","1.0","120.1"
"J.K. Dobbins","DEN","149.5","661.5","5.0","28.3","182.0","1.1","1.2","118.7"
