,Player,Team,rTDS,wTDS,PTS,VORP,ELO
0,Jahmyr Gibbs,DET,11.7,2.8,86.99999999999999,67.66666666666666,1490.759887561205
1,Derrick Henry,BAL,13.2,0.9,84.6,65.26666666666667,1450.1684335188982
2,Saquon Barkley,PHI,10.8,2.2,78.00000000000001,58.666666666666686,1430.7451211960856
3,Bijan Robinson,ATL,11.3,2.1,80.4,61.06666666666668,1403.6020331214627
4,Josh Jacobs,GB,11.3,1.5,76.80000000000001,57.46666666666668,1309.971290980969
5,Christian McCaffrey,SF,7.9,3.6,69.0,49.66666666666667,1288.591538509282
6,De'Von Achane,MIA,7.6,4.1,70.19999999999999,50.86666666666666,1282.7606100129226
7,Kyren Williams,LAR,11.2,1.7,77.39999999999999,58.06666666666666,1256.6697406622495
8,Kenneth Walker III,SEA,8.0,1.3,55.8,36.46666666666667,1234.17194545593
9,Jonathan Taylor,IND,9.6,1.1,64.19999999999999,44.86666666666666,1205.970062726263
10,David Montgomery,DET,8.9,0.9,58.8,39.46666666666667,1202.6679770930773
11,James Cook,BUF,9.5,1.9,68.4,49.06666666666668,1201.2364807899694
12,Chase Brown,CIN,7.8,2.7,63.0,43.66666666666667,1182.5247817526576
13,Omarion Hampton,LAC,8.4,1.6,60.00000000000001,40.66666666666667,1164.4594136371513
14,James Conner,ARI,7.8,1.7,57.0,37.66666666666667,1162.6465442263575
15,Ashton Jeanty,LV,9.0,1.9,65.4,46.06666666666668,1156.9256806621363
16,Chuba Hubbard,CAR,7.4,1.1,51.00000000000001,31.666666666666675,1135.6327286151109
17,Breece Hall,NYJ,5.9,2.1,48.00000000000001,28.666666666666675,1111.7496234419382
18,Alvin Kamara,NO,5.1,2.0,42.6,23.266666666666666,1094.1564287533863
19,Bucky Irving,TB,8.3,1.7,60.0,40.66666666666667,1072.6598858294292
20,Isiah Pacheco,KC,5.7,1.0,40.2,20.86666666666667,1061.2151976326077
21,D'Andre Swift,CHI,6.1,1.2,43.8,24.466666666666665,1060.8405858466488
22,Kaleb Johnson,PIT,6.2,1.0,43.2,23.86666666666667,1051.1388017164873
23,Brian Robinson Jr.,WAS,7.2,1.0,49.2,29.86666666666667,1048.952199323926
24,Joe Mixon,HOU,7.5,1.3,52.8,33.46666666666667,1047.3886491150984
25,RJ Harvey,DEN,5.2,1.7,41.400000000000006,22.06666666666668,1028.3545550353829
26,TreVeyon Henderson,NE,5.7,1.5,43.2,23.86666666666667,1026.6250583345184
27,J.K. Dobbins,DEN,5.0,1.1,36.6,17.26666666666667,1020.193809110811
28,Tank Bigsby,JAC,5.1,0.3,32.4,13.066666666666666,1004.5720400263946
29,Jordan Mason,MIN,4.4,0.7,30.6,11.26666666666667,997.151209918243
30,Aaron Jones Sr.,MIN,4.6,2.2,40.8,21.466666666666665,990.8996076341506
31,Tyrone Tracy Jr.,NYG,4.9,1.1,36.0,16.666666666666668,989.2217502108748
32,Zach Charbonnet,SEA,4.3,0.9,31.2,11.866666666666664,975.3148683787846
33,Javonte Williams,DAL,4.3,1.1,32.4,13.066666666666666,972.9572263092429
34,Tony Pollard,TEN,5.2,0.9,36.6,17.26666666666667,948.0603925847761
35,Cam Skattebo,NYG,3.8,1.0,28.8,9.466666666666663,947.8542498183687
36,Rhamondre Stevenson,NE,4.8,1.1,35.4,16.066666666666666,946.7232583704072
37,Najee Harris,LAC,5.0,0.8,34.8,15.466666666666663,931.2796924333069
38,Jaylen Warren,PIT,3.7,1.1,28.800000000000004,9.466666666666672,921.1363785749376
