,Player,Team,wTDS,rTDS,PTS,VORP,ELO
0,Ja'Marr Chase,CIN,12.2,0.0,73.19999999999999,45.59999999999998,1454.0809054303877
1,A.J. Brown,PHI,8.4,0.0,50.400000000000006,22.8,1400.2027103843511
2,Justin Jefferson,MIN,9.7,0.0,58.2,30.59999999999999,1395.8029030547268
3,Mike Evans,TB,9.9,0.0,59.400000000000006,31.8,1373.3649565177602
4,Amon-Ra St. Brown,DET,9.1,0.1,55.2,27.59999999999999,1370.0
5,Malik Nabers,NYG,8.2,0.0,49.2,21.59999999999999,1362.8108614417333
6,Terry McLaurin,WAS,8.4,0.0,50.400000000000006,22.8,1319.1596705219658
7,CeeDee Lamb,DAL,8.0,0.3,49.8,22.199999999999992,1314.5725650179736
8,Brian Thomas Jr.,JAC,8.6,0.0,51.6,23.99999999999999,1293.7183609024714
9,Tee Higgins,CIN,8.9,0.0,53.400000000000006,25.8,1292.094230696408
10,Nico Collins,HOU,8.9,0.0,53.400000000000006,25.8,1290.5753746579057
11,Drake London,ATL,7.9,0.0,47.400000000000006,19.8,1285.3496865277255
12,Xavier Worthy,KC,7.1,1.5,51.6,23.99999999999999,1266.4533654588092
13,Davante Adams,LAR,8.3,0.0,49.8,22.2,1265.9362738038606
14,Ladd McConkey,LAC,7.5,0.0,45.0,17.399999999999995,1260.241481315821
15,Courtland Sutton,DEN,7.4,0.0,44.400000000000006,16.8,1257.5019509448405
16,Puka Nacua,LAR,7.0,0.6,45.6,17.999999999999996,1253.7131802429317
17,Tyreek Hill,MIA,7.7,0.1,46.8,19.2,1239.643438035959
18,DeVonta Smith,PHI,6.8,0.0,40.8,13.199999999999992,1234.9048189036382
19,DK Metcalf,PIT,7.3,0.0,43.8,16.199999999999992,1210.0
20,Marvin Harrison Jr.,ARI,7.7,0.0,46.2,18.6,1200.4984250914872
21,George Pickens,DAL,6.4,0.0,38.400000000000006,10.8,1189.8753733277238
22,Zay Flowers,BAL,6.3,0.1,38.4,10.799999999999994,1177.0346858726057
23,Jayden Reed,GB,5.8,0.7,39.0,11.399999999999997,1170.0
24,Jaxon Smith-Njigba,SEA,6.6,0.0,39.6,11.99999999999999,1163.8290082406968
25,Jameson Williams,DET,6.0,0.8,40.8,13.199999999999992,1158.10004770955
26,DJ Moore,CHI,6.3,0.1,38.4,10.799999999999994,1135.1062467609731
27,Garrett Wilson,NYJ,6.0,0.0,36.0,8.399999999999995,1133.8325040993618
